YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf,SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR,P [W],fs [Hz],OSR,fsnyq_w,fsnyq,FOMW_lf [fJ/conv-step],FOMW_hf,FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
2000,16.2,NQ,Folding,0.35,An 8-bit 125 MS/s CMOS folding ADC for Gigabit Ethernet LSI,"An 8-bit 125 MS/s CMOS folding ADC using an equalizing technique is presented, which reduces the settling time of the analog folding processor to obtain a higher sampling rate. The prototype chip, fabricated in a 0.35 ?m triple metal digital CMOS process, occupies an area of 0.8 mm2 and consumes 110 mW achieving 6.4 effective bits for a Nyquist input signal ",Kwangho Yoon   Jeongho Lee   Deog-Kyoon Jeong   Wonchan Kim   , , ,0.8,,6.25E+07,40.2,,,,,40.2,1.10E-01,1.25E+08,1,1.25E+08,8.80E+02,,10526.7,,127.7,8.42E-05,208.71
2001,19.2,NQ,Folding,0.18,An 8-bit 30 MS/s 18 mW ADC with 1.8 V single power supply,"This paper describes an 8-bit 30 MS/s 18 mW ADC (Analog-to-Digital Converter) with 1.8 V single power supply for battery powered systems. A folding and interpolation architecture with the auto-zeroed amplifiers is newly developed to achieve the low power consumption and the low power supply voltage. A pipelining technique is also introduced to realize that conversion rate with low power consumption. A test chip of the ADC is fabricated in a 0.18 ?m CMOS process. The experimental results at 30 MS/s shows DNL less than +/$0.5 LSB, INL less than +/- 1.0 LSB and SNDR more than 45 dB with 3 MHz input frequency ","Sigenobu, T.   Ito, M.   Miki, T.   ", , ,0.96,,1.50E+07,45,,,,,45,1.80E-02,3.00E+07,1,3.00E+07,6.00E+02,,4129.9,,134.2,1.38E-04,208.98
2001,19.3,NQ,Pipe,0.35,A 12-bit mismatch-shaped pipeline A/D converter,"This paper presents pipeline A/D converters with improved linearity. The linearity improvement is achieved through a combination of oversampling and mismatch shaping, which modulates the distortion energy out-of-band. A 77 dB SFDR is achieved at an oversampling ratio of 4 and a sampling rate of 51 Msample/s, which is a 12 dB improvement compared to a converter with no mismatch shaping. These results were obtained from a test chip fabricated in a 0.35 ?m CMOS process ","Shabra, A.   Hae-Seung Lee   ", , ,,,2.55E+07,67,,,75,77,67,6.00E-01,5.10E+07,1,5.10E+07,1.18E+04,,6430.7,,143.3,1.26E-04,220.36
2002,23.1,NQ,Flash,0.18,A 6bit 400Msps 70mW ADC using interpolated parallel scheme,"The design of a low power 6bit, 400Msps, 1.8V CMOS ADC is presented. This ADC is based on interpolated parallel architecture in which the transistor sizes are optimized to achieve the required linearity and simultaneously minimize the power consumption. When operated at 400Msps with 1.8/2.4V power supply the ADC dissipates 70mW. The ADC is fabricated in a 0.18/spl mu/m CMOS process. ","Ono, K.   Shimizu, H.   Ogawa, J.   Takeda, M.   Yano, M.   ", , ,0.2688,,2.00E+08,31,35,,,,31,7.00E-02,4.00E+08,1,4.00E+08,1.75E+02,,6038,,125.6,1.51E-05,211.58
2002,23.2,NQ,Folding,0.12,A 1.2 V 10-b 100-MSamples/s A/D converter in 0.12/spl mu/m CMOS,"A CMOS analog-to-digital converter (ADC) utilizing folding, averaging and distributed interpolation is described. Fabricated in a digital 0.12 /spl mu/m CMOS process, the ADC occupies 0.32 mm/sup 2/ while dissipating 140 mW from a single 1.2 V supply. The experimental results show that the converter achieves 55dB SNR at sampling frequencies up to 100MHz. ","Blum, A.S.   Engl, B.H.   Eichfeld, H.P.   Hagelauer, R.   Abidi, A.A.   ", , ,0.32,,5.00E+07,54.9,,,,,54.9,1.80E-01,1.00E+08,1,1.00E+08,1.80E+03,,3955.3,,139.4,3.96E-05,219.35
2003,6.1,NQ,Pipe,0.18,A 0.9 V 9 mW 1MSPS digitally calibrated ADC with 75 dB SFDR,"A low-voltage two-stage algorithmic ADC incorporating the Opamp-Reset Switching Technique (ORST) is presented. The low-voltage digital CMOS process compatible operation is achieved without the clock boosting/bootstrapping or switched-opamp. The ADC employs a highly linear input sampling circuit at the front-end, and the digital output is calibrated using a radix-based scheme. The prototype was fabricated in a 0.18-/spl mu/m CMOS technology and the active die area is 1.2 mm/spl times/1.2 mm. The calibrated ADC demonstrates 75 dB SFDR at 0.9 V and 80 dB SFDR at 1.2 V. The total power consumption of the ADC is 9 mW at the clock frequency of 7 MHz (1MSPS).",Dong-Young Chang; Gil-Cho Ahn; Un-Ku Moon;,Calibration, ,1.44,,5.00E+05,55,,,,75,55,9.00E-03,1.00E+06,1,1.00E+06,9.00E+03,,19587.4,,132.4,1.96E-02,192.45
2003,6.2,OS,SDSC,0.35,"A 1.8 V, 1 MS/s, 85 dB SNR 2+2 mash /spl Sigma//spl Delta/ modulator with /spl plusmn/0.9 V reference voltage","A 1.8 V, 1 MS/s, 85 dB SNR 2+2 mash /spl Sigma//spl Delta/ modulator with /spl plusmn/0.9 V reference voltage is realized by using the swing reduction structure. This structure limits the output swing of all the integrators within half the reference voltage. Thus, low voltage and high speed operation is possible with even high reference voltage without degrading the performance of the modulator. The circuit is fabricated in CMOS 0.35 /spl mu/m process with chip size of 2.5/spl times/2.5 mm/sup 2/.","Kye-Shin Lee   Maloberti, F.  ", , ,6.25,,5.00E+05,,85.7,87,,,85.7,1.50E-01,1.00E+06,1,1.00E+06,1.50E+05,,9520.8,,150.9,9.52E-03,210.93
2003,6.3,OS,SDCT,0.25,A Fourth Order Continuous-Time Complex Sigma-Delta ADC for Low-IF GSM and EDGE Receivers,"A low-power fourth order continuous-time complex /spl Sigma//spl Delta/ ADC has been designed and fabricated for low-IF (LIF) GSM and EDGE receivers in a 0.25 /spl mu/m CMOS technology. This ADC has a bandwidth of 270 kHz centered around-100 kHz. The dynamic range (DNR) is 82 dB at a sampling rate of 13 MHz even though the digital decimation filter and other blocks are active on the chip. The power consumption is 4.6 mW at 2 V supply. To our knowledge this ADC has the best performance, which has been reported so far with a complex /spl Sigma//spl Delta/ ADC for LIF mode GSM and EDGE receivers. ","Farzad Esfahani, Philipp Basedau, Roland Ryter, Rolf Becker", , ,0.3894,,2.70E+05,78.4,,82,,,78.4,4.60E-03,1.30E+07,24,5.40E+05,8.52E+03,,1253.1,,156.1,2.32E-03,213.41
2004,6.1,NQ,Cyclic,0.13,A calibration-free 3V 16b 500kS/s 6mW 0.5mm/sup 2/ ADC with 0.13 /spl mu/m CMOS,"A calibration-free 3V 6mW 16-bit 500kS/s cyclic ADC with an active die area of 0.5mm/sup 2/ is implemented in a 0.13 /spl mu/m CMOS. The proposed converter adopts a 2.5-bit/stage cyclic architecture and capacitor layout scheme to achieve improved matching accuracy, the DNL and INL of /spl plusmn/0.90 LSB and /spl plusmn/6.1 LSB, respectively. ",Hee-Cheol Choi   Seung-Bin You   Ho-Young Lee   Ho-Jin Park   Jae-Whui Kim   , , ,0.5,,2.50E+05,77.4,,,90.2,,77.4,6.00E-03,5.00E+05,1,5.00E+05,1.20E+04,,1980.6,,153.6,3.96E-03,210.59
2004,6.2,OS,SDSC,0.18,A third-order /spl Sigma//spl Delta/ modulator in 0.18 /spl mu/m CMOS with calibrated mixed-mode integrators,"A third-order EA modulator employing mixed-mode integrators has been designed and implemented in 0.18um CMOS process. Because the use of mixed-mode integrators allows a 12dB improvement in the dynamic range over conventional third-order architectures, the modulator can be driven with lower sampling frequency to achieve the same dynamic range. The modulator covers the dynamic range requirements of GSM and WCDMA applications with sampling frequencies of only 3.2MHz and 40MHz, respectively. The circuit occupies 0.7mm/sup 2/ silicon area. ",Jae Hoon Shim   Beomsup Kim   ,GSM mode, ,0.7,,2.00E+05,,,76,,,76,4.00E-03,3.20E+06,8,4.00E+05,1.00E+04,,1939.2,,153,4.85E-03,209.01
2004,6.2,OS,SDSC,0.18,A third-order /spl Sigma//spl Delta/ modulator in 0.18 /spl mu/m CMOS with calibrated mixed-mode integrators,"A third-order EA modulator employing mixed-mode integrators has been designed and implemented in 0.18um CMOS process. Because the use of mixed-mode integrators allows a 12dB improvement in the dynamic range over conventional third-order architectures, the modulator can be driven with lower sampling frequency to achieve the same dynamic range. The modulator covers the dynamic range requirements of GSM and WCDMA applications with sampling frequencies of only 3.2MHz and 40MHz, respectively. The circuit occupies 0.7mm/sup 2/ silicon area. ",Jae Hoon Shim   Beomsup Kim   ,WCDMA mode, ,0.7,,5.00E+06,,,55,,,55,4.00E-03,4.00E+07,4,1.00E+07,4.00E+02,,870.6,,146,8.71E-05,215.97
2004,6.3,OS,SDCT,0.13,A 12 bit Continuous-Time /spl Sigma//spl Delta/ modulator with 400MHz clock and low jitter sensitivity in 0.13 /spl mu/m CMOS,A wide bandwidth Continuous-Time /spl Sigma//spl Delta/ lowpass ADC with a 4-bit internal quantizer is presented. The converter is implemented in a pure digital 0.13 /spl mu/m CMOS. It achieves 76dB Dynamic Range over 12MHz signal bandwidth tolerating up to 20ps RMS clock jitter. Operated at 400MHz the power consumption is 70mW from a 1.5V supply. The ADC has been designed to be tolerant to excess-loop delay and clock jitter. The 4/sup th/-order loop-filter is based on OpAmp-RC structure. ,"Paton, S.   Di Giandomenic, A.   Hernandez, L.   Wiesbauer, A.   Potscher, T.   Clara, M.   ", , ,,,1.20E+07,61,64,76,,,61,7.00E-02,4.00E+08,17,2.40E+07,2.92E+03,,3181.2,,143.3,1.33E-04,217.14
2004,6.4,OS,SDCT,0.35,A 3.3-V 240-MS/s CMOS bandpass /spl Sigma//spl Delta/ modulator using a fast-settling double-sampling SC filter,"A bandpass /spl Sigma//spl Delta/ modulator is demonstrated to operate at a very high sampling rate of 240 MS/s by employing a proposed double-sampling switched-capacitor biquadratic filter architecture, which processes with a fast-settling feature. Implemented in a standard 0.35-/spl mu/m CMOS process, the modulator achieves a peak SNDR of 72 dB, 55 dB and 52 dB at a bandwidth of 200 kHz, 1 MHz and 1.25 MHz for GSM, Bluetooth and CDMA2000 applications respectively while dissipating 37 mW and occupying a chip area of 1.2 mm/sup 2/. ","Cheung, V.S.L.   Luong, H.C.   ", , ,1.2,,2.00E+05,72,,,,,72,3.70E-02,2.40E+08,600,4.00E+05,9.25E+04,,28431,,139.3,7.11E-02,195.35
2004,6.4,OS,SDSC,0.35,A 3.3-V 240-MS/s CMOS bandpass /spl Sigma//spl Delta/ modulator using a fast-settling double-sampling SC filter,"A bandpass /spl Sigma//spl Delta/ modulator is demonstrated to operate at a very high sampling rate of 240 MS/s by employing a proposed double-sampling switched-capacitor biquadratic filter architecture, which processes with a fast-settling feature. Implemented in a standard 0.35-/spl mu/m CMOS process, the modulator achieves a peak SNDR of 72 dB, 55 dB and 52 dB at a bandwidth of 200 kHz, 1 MHz and 1.25 MHz for GSM, Bluetooth and CDMA2000 applications respectively while dissipating 37 mW and occupying a chip area of 1.2 mm/sup 2/. ","Cheung, V.S.L.   Luong, H.C.   ", , ,1.2,,1.00E+06,55,,,,,55,3.70E-02,2.40E+08,120,2.00E+06,1.85E+04,,40263,,129.3,2.01E-02,192.33
2004,6.4,OS,SDSC,0.35,A 3.3-V 240-MS/s CMOS bandpass /spl Sigma//spl Delta/ modulator using a fast-settling double-sampling SC filter,"A bandpass /spl Sigma//spl Delta/ modulator is demonstrated to operate at a very high sampling rate of 240 MS/s by employing a proposed double-sampling switched-capacitor biquadratic filter architecture, which processes with a fast-settling feature. Implemented in a standard 0.35-/spl mu/m CMOS process, the modulator achieves a peak SNDR of 72 dB, 55 dB and 52 dB at a bandwidth of 200 kHz, 1 MHz and 1.25 MHz for GSM, Bluetooth and CDMA2000 applications respectively while dissipating 37 mW and occupying a chip area of 1.2 mm/sup 2/. ","Cheung, V.S.L.   Luong, H.C.   ", , ,1.2,,1.25E+06,52,,,,,52,3.70E-02,2.40E+08,96,2.50E+06,1.48E+04,,45500,,127.3,1.82E-02,191.27
2004,25.1,NQ,Flash,0.13,A 4GS/s 6b flash ADC in 0.13 /spl mu/m CMOS,A 4GS/s 6b flash ADC with 8b output is presented realized in a 0.13 /spl mu/m standard CMOS technology. The outputs of 255 small-area comparators with comparatively large input offsets are averaged by a fault tolerant thermometer-to-binary converter. The ADC uses an on-chip low jitter VCO for clock provision and consumes 990mW at a single supply voltage of 1.5V. ,"Paulus, C.   Bluthgen, H.-M.   Low, M.   Sicheneder, E.   Bruls, N.   Courtois, A.   Tiebout, M.   Thewes, R.   ","SNDR, SNR not reported", ,0.5,,2.00E+09,,,,,30,30,9.90E-01,4.00E+09,1,4.00E+09,2.48E+02,,9581.5,,123.1,2.40E-06,219.07
2004,25.2,NQ,Folding,0.18,A 600 MSPS 8-bit folding ADC in 0.18 /spl mu/m CMOS,An 8-bit folding A/D converter (ADC) achieves signal-to-noise plus distortion ratio (SNDR) of 40 dB at 600 MSample/s (MSPS) for input signals up to 200 MHz in standard 0.18-/spl mu/m CMOS. Distributed T/Hs at outputs of the first-stage pre-amplifiers are employed instead of a dedicated front-end T/H. Lateral capacitors are inserted between adjacent T/H outputs to average the random mismatches in charge injection and clock skew among the distributed T/Hs. The ADC consumes 0.5-mm/sup 2/ effective chip area and dissipates 207mW from a 1.8V supply. ,"Zheng-Yu Wang   Hui Pan   Chung-Ming Chang   Hai-Rong Yu   Chang, M.F.   ", , ,0.5,,3.00E+08,40,,46.9,,,40,2.07E-01,6.00E+08,1,6.00E+08,3.45E+02,,4223.1,,131.6,7.04E-06,219.39
2004,25.3,NQ,Pipe,0.34 BiCMOS,A highly integrated analog baseband transceiver featuring a 12-bit 180MSPS pipelined A/D converter for multi-channel wireless LAN,"This analog baseband transceiver features a 12-bit, 180MSPS pipelined ADC with -71dBFS THD and 61dB SNR sharing substrate with dual I/Q 10-bit 180MSPS D/A converters and low-jitter DLL/digital buffers. Fabricated in the IBM BiCMOS6HP process and packaged in a low-inductance 6-layer flip-chip, the ADC consumes a total of 1.2W at 3.3V. The converter utilizes 1.5b/stage switched-capacitor stages with a wide-band, high-gain opamp employing 2.5V bipolar devices, a dedicated track/hold amplifier, and a voltage reference without an amplifier. ","Gulati, K.   Munoz, C.   Seonghwan Cho   Manganaro, G.   Lugin, M.   Peng, M.   Pulincherry, A.   Jipeng Li   Bugeja, A.   Chandrakasan, A.   Shoemaker, D.   ", , ,8,,9.00E+07,60.4,60.7,,72,,60.4,1.20E+00,1.80E+08,1,1.80E+08,6.67E+03,,7796.1,,139.1,4.33E-05,221.7
2004,25.4,NQ,"Pipe, TI, SwOpAmp",0.18,A 1.5-V 10-b 50 MS/s time-interleaved switched-opamp pipeline CMOS ADC with high energy efficiency,"A 1.5V 10-b 50MS/s 2-channel pipeline ADC is described. Amplifiers are efficiently shared between channels using low-voltage techniques to reduce the power supply. The selected resolution per stage avoids the need of scaling the stages, simplifying the implementation of a low-power design. Measurements from the prototypes fabricated in a 0.18 /spl mu/m CMOS technology exhibit 10b DNL, 9.5b INL and 9.2 effective bits at Nyquist-rate. The chip occupies 1.3 mm/sup 2/ and dissipates only 29 mW at 1.5V. ","Vaz, B.   Goes, J.   Paulino, N.   ", , ,1.3,,2.50E+07,57.2,62,,60.3,62.3,57.2,2.90E-02,5.00E+07,1,5.00E+07,5.80E+02,,979.8,,146.6,1.96E-05,223.55
2004,25.5,NQ,Algorithmic,0.18,0.9V 12mW 2MSPS algorithmic ADC with 81dB SFDR,"An ultra low-voltage CMOS two-stage algorithm ADC incorporating background digital calibration is presented. The adopted low-voltage circuit technique achieves high-accuracy high-speed clocking without the use of clock boosting or bootstrapping. A resistor-based input sampling branch demonstrates high linearity and inherent low-voltage operation. The proposed background calibration accounts for capacitor mismatches and finite opamp gain error in the MDAC stages via a novel digital correlation scheme involving a two-channel ADC architecture. The prototype ADC, fabricated in a 0.18 /spl mu/m CMOS process, achieves 81 dB SFDR at 0.9V and 2MSPS (12MHz clock) after calibration. The ADC operates up to 5MSPS (30MHz clock) with 4dB degradation. The total power consumption is 12mW, and the active die area is 1.4 mm/sup 2/. ",Jipeng Li   Gil-Cho Ahn   Dong-Young Chang   Un-Ku Moon   , , ,1.4,,2.00E+06,55,55,,,81,55,1.20E-02,4.00E+06,1,4.00E+06,3.00E+03,,6529.1,,137.2,1.63E-03,203.24
2005,12.2,OS,SDSC,0.25,An energy-efficient analog front-end circuit for a sub-1V digital hearing aid chip,"A low-power, energy-efficient analog front-end circuit is proposed and implemented for a digital hearing aid chip. It adopts the combined-gain-control (CGC) technique for an accurate preamplification and the adaptive-SNR (ASNR) technique for an improvement of dynamic range with low power consumption. The proposed analog front-end achieves 87-dB peak SNR and dissipates 60-/spl mu/W from a single 0.9-V supply. The core area is 0.5-mm/sup 2/ in a 0.25-/spl mu/m standard CMOS technology.",Sunyoung Kim   Jae-Youl Lee   Seong-Jun Song   Namjun Cho   Hoi-Jun Yoo  ,Type 1, ,0.5,,8.00E+03,69,72,,,,69,2.63E-05,1.02E+06,64,1.60E+04,1.64E+03,,713.7,,153.8,4.46E-02,195.87
2005,12.3,OS,SDSC,0.13,"A 1-V, 1-MS/s, 88-dB sigma-delta modulator in 0.13-/spl mu/m digital CMOS technology","A low-voltage switched-capacitor fourth-order /spl Sigma/-/spl Delta/ modulator using full feed-forward is introduced. It has two advantages: the unity signal transfer function and reduced signal swings inside the /spl Sigma/-/spl Delta/ loop. These features greatly relax the DC gain and output swing requirements for OTAs in the deep submicron CMOS /spl Sigma/-/spl Delta/ modulator. With careful signal scaling, signal swings inside the loop can be suppressed to less than 50% of the reference voltage, which is highly desirable by low-voltage designs. Implemented by a 0.13-/spl mu/m pure digital CMOS technology, the /spl Sigma/-/spl Delta/ modulator achieves 1-MS/s conversion speed and 88-dB DR with 7.4-mW power dissipation under 1.0-V power supply voltage. ","Libin Yao   Steyaert, M.   Sansen, W.   ", , ,0.6016,,5.00E+05,,,88,,,88,7.40E-03,6.40E+07,64,1.00E+06,7.40E+03,,360.4,,166.3,3.60E-04,226.3
2005,21.1,NQ,"Pipe, TI",0.18,"A 6GS/s, 4-bit receiver analog-to-digital converter with embedded DFE",A 4-bit 6GS/s A/D converter is designed for a serial-link receiver and features an embedded adjustable one-tap DFE. Feedback-delay is relaxed through applying DFE to a 10-way interleaved pipelined architecture. Code-overlapping is used to remove residual ISI. Measured performance at 6GS/s shows 22.5dB of low-frequency input SNDR. DFE tap-coefficient is adjustable from 0 to 0.25 with 6-bits of programmable weight. The 1.8/spl times/1.6mm/sup 2/ chip is fabricated in 0.18/spl mu/m CMOS technology and consumes 780mW at 1.8V power-supply. ,"Varzaghani, A.   Yang, C.-K.K.   ", , ,2.88,,3.00E+09,22.5,,,,,22.5,7.80E-01,6.00E+09,1,6.00E+09,1.30E+02,,11935.5,,118.4,1.99E-06,216.13
2005,21.2,NQ,Pipe,0.18,A reconfigurable pipelined ADC in 0.18 /spl mu/m CMOS,"A reconfigurable pipelined A/D converter has been implemented in a 0.18 /spl mu/m RF-CMOS process. The ADC has eight configurations with a top performance of 10 bits resolution at 80 MSPS consuming 94mW. The reconfigurability is achieved by combining the cyclic and pipelined ADC architectures giving it a low level of complexity. In the conventional pipeline mode, the measured SFDR is 69 dBFS and the SNDR is 56.5 dBc for a 1.54 MHz single sinusoid tone input. ","Anderson, M.   Norling, K.   Dreyfert, A.   Yuan, J.   ", , ,1.9,,5.00E+06,58.8,59,,71.1,76.3,58.8,8.10E-02,1.00E+07,1,1.00E+07,8.10E+03,,11381.5,,136.7,1.14E-03,206.7
2005,21.2,NQ,Pipe,0.18,A reconfigurable pipelined ADC in 0.18 /spl mu/m CMOS,"A reconfigurable pipelined A/D converter has been implemented in a 0.18 /spl mu/m RF-CMOS process. The ADC has eight configurations with a top performance of 10 bits resolution at 80 MSPS consuming 94mW. The reconfigurability is achieved by combining the cyclic and pipelined ADC architectures giving it a low level of complexity. In the conventional pipeline mode, the measured SFDR is 69 dBFS and the SNDR is 56.5 dBc for a 1.54 MHz single sinusoid tone input. ","Anderson, M.   Norling, K.   Dreyfert, A.   Yuan, J.   ", , ,1.9,,4.00E+07,56.5,56.9,,67,69.1,56.5,9.40E-02,8.00E+07,1,8.00E+07,1.18E+03,,2151.6,,142.8,2.69E-05,221.82
